pH,Salinity,Turbidity ,Water Temperature,TDS
7.1,0.2,1,27.9,230
7.3,1.5,6.3,23.7,2000
9.2,0.2,5.3,29.7,280
8,0.1,13.9,26.1,120
7.4,1.3,18.6,29.2,1500
7.2,0.1,7.2,22.9,130
7.4,0.1,10.4,21.7,150
8.1,0.2,5,31.1,110
7.5,0.1,11.8,26.6,85
7.8,0.2,2.2,20.1,280
7.5,0.2,12.6,30.1,200
7.5,0.4,26,22,470
7.2,0.2,4.9,25.2,190
7.3,0.1,20.3,24.7,140
7.4,0.1,3.6,28.6,170
7.3,1.2,1.3,30.7,1700
7.8,0.2,25.4,19.2,150
7.3,1,18.8,22.7,1400
7.5,0.1,0.6,18.9,82
